question_id,category_lv1,category_lv2,category_lv3,difficulty,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
JLPT_LK_N2_004,言語知識,語彙,語形成,3,彼の行動には（ ______ ）責任なところがある。,無,不,非,未,無,「責任（せきにん）」の前につく言葉は「無」で、「無責任（むせきにん）」になります。<br>「不責任」や「非責任」「未責任」という言葉はありません。<br>「無責任（むせきにん）」は、責任（せきにん）を持（も）たないことという意味（いみ）です。
JLPT_LK_N2_005,言語知識,語彙,文脈規定,3,道路が（ ______ ）混雑していて、車が全然進まない。,びっしり,じっくり,ひっそり,めっきり,びっしり,「びっしり」は、隙間（すきま）なく詰（つ）まっている様子（ようす）を表（あらわ）します。<br>「じっくり」は、時間（じかん）をかけて丁寧（ていねい）に行（おこな）う様子です。<br>「ひっそり」は、静（しず）かな様子です。<br>「めっきり」は、急（きゅう）に変化（へんか）する様子です。
JLPT_LK_N2_006,言語知識,語彙,言い換え類義,3,会議の時間を<u>変更</u>した。,ずらした,はぶいた,ひかえた,あきらめた,ずらした,「変更（へんこう）する」と「ずらす」は、予定（よてい）や時間を変（か）えるという意味（いみ）で同じです。<br>「省（はぶ）く」は、いらないものを取り除く（とりのぞく）という意味です。<br>「控（ひか）える」は、やめたり少（すく）なくしたりすることです。<br>「諦（あきら）める」は、やめることです。
JLPT_LK_N2_007,言語知識,語彙,用法,3,<u>さわやか</u>,朝の空気を吸ったら、さわやかな気分になった。,雨が激しく降って、さわやかな天気だ。,荷物が重すぎて、さわやかに持てない。,彼は怒ると、とてもさわやかな顔をする。,朝の空気を吸ったら、さわやかな気分になった。,「さわやか」は、気持ちがよい様子（ようす）に使（つか）います。<br>雨（あめ）が激（はげ）しい天気（てんき）や、重（おも）い荷物（にもつ）、怒（おこ）った顔（かお）には使えません。
JLPT_LK_N2_013,言語知識,語彙,語形成,3,ゴミを減らすために、ペットボトルを（ ______ ）利用する。,再,新,過,初,再,「利用（りよう）」の前につく言葉は「再」で、「再利用（さいりよう）」になります。<br>「新利用」「過利用」「初利用」という言葉はありません。<br>「再利用（さいりよう）」は、もう一度（いちど）使うという意味（いみ）です。
JLPT_LK_N2_014,言語知識,語彙,文脈規定,3,忙しくて大切な約束を（ ______ ）忘れてしまった。,うっかり,ぐっすり,こっそり,すっきり,うっかり,「うっかり」は、注意（ちゅうい）が足りなくて忘（わす）れたり失敗（しっぱい）したりする様子（ようす）を表（あらわ）します。<br>「ぐっすり」は、よく眠（ねむ）る様子です。<br>「こっそり」は、人に見られないように隠（かく）れて行う様子です。<br>「すっきり」は、気持ちが爽（さわ）やかになる様子です。
JLPT_LK_N2_015,言語知識,語彙,言い換え類義,3,駅で<u>たまたま</u>昔の友達に会った。,偶然,突然,当然,必然,偶然,「たまたま」と「偶然（ぐうぜん）」は、予想（よそう）していなかったことが起こるという意味（いみ）で同じです。<br>「突然（とつぜん）」は、急（きゅう）にという意味です。<br>「当然（とうぜん）」は、当たり前（あたりまえ）という意味です。<br>「必然（ひつぜん）」は、かならずそうなるという意味です。
JLPT_LK_N2_016,言語知識,語彙,用法,3,<u>あっさり</u>,難しい問題をあっさり解いてしまった。,毎日あっさりと勉強を続けている。,電車が遅れてあっさり遅刻した。,荷物が軽くてあっさりと持てた。,難しい問題をあっさり解いてしまった。,「あっさり」は、簡単（かんたん）に、または短時間（たんじかん）で物事（ものごと）が行われる様子（ようす）に使（つか）います。<br>勉強（べんきょう）を継続（けいぞく）することや、電車（でんしゃ）の遅延（ちえん）、荷物（にもつ）の軽さには使いません。
JLPT_LK_N2_023,言語知識,語彙,語形成,3,この製品は（ ______ ）完成品のため、もう少し作業が必要です。,未,無,非,不,未,「完成品（かんせいひん）」の前につく言葉は「未」で、「未完成品（みかんせいひん）」になります。<br>「無完成品」「非完成品」「不完成品」という言葉はありません。<br>「未（み）」は、まだ〜していないという意味（いみ）を表（あらわ）します。
JLPT_LK_N2_024,言語知識,語彙,文脈規定,3,彼の説明はとても（ ______ ）していて、誰にでも分かりやすい。,明確,優秀,正直,活発,明確,「明確（めいかく）」は、はっきりしていて分かりやすい様子（ようす）を表（あらわ）します。<br>「優秀（ゆうしゅう）」は頭が良いことや能力が高いことです。<br>「正直（しょうじき）」は嘘（うそ）をつかないことです。<br>「活発（かっぱつ）」は元気に動く様子です。
