question_id,category_lv1,category_lv2,category_lv3,difficulty,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
JLPT_N2_LK_Ch_001,言語知識,文字,漢字読み,3,契約を<u>更新</u>する。,こうしん,こうじん,くんしん,ぐんしん,こうしん,「更新」の正しい読み方は「こうしん」です。<br>「こうじん」「くんしん」「ぐんしん」は間違った読み方です。<br>「更新（こうしん）」は、新（あたら）しくし直（なお）すという意味（いみ）です。
JLPT_N2_LK_Ch_002,言語知識,文字,漢字読み,3,この建物は安全性を<u>維持</u>している。,いじ,いち,いちじ,いじり,いじ,「維持」の正しい読み方は「いじ」です。<br>「いち」や「いちじ」は別の言葉（ことば）の読み方なので間違いです。<br>「維持（いじ）」は、同じ状態（じょうたい）を保（たも）つという意味（いみ）です。
JLPT_N2_LK_Ch_003,言語知識,文字,表記,3,予算を<u>さくげん</u>することになった。,削減,削現,策減,削原,削減,「さくげん」の正しい漢字は「削減」です。<br>「削現」や「策減」「削原」という漢字の組み合わせはありません。<br>「削減（さくげん）」は、削（けず）って減（へ）らすという意味（いみ）です。
JLPT_N2_LK_Ch_004,言語知識,文字,漢字読み,3,彼の行動を<u>観察</u>する。,かんさつ,けんさつ,かんさく,けんさく,かんさつ,「観察」の正しい読み方は「かんさつ」です。<br>「けんさつ」「かんさく」「けんさく」は間違った読み方です。<br>「観察（かんさつ）」は、じっくり見（み）て調（しら）べるという意味（いみ）です。
JLPT_N2_LK_Ch_005,言語知識,文字,表記,3,新しい計画が<u>しょうにん</u>された。,承認,証認,勝認,詳認,承認,「しょうにん」の正しい漢字は「承認」です。<br>「証認」「勝認」「詳認」という組み合わせは間違いです。<br>「承認（しょうにん）」は、認（みと）めて許（ゆる）すという意味（いみ）です。
JLPT_N2_LK_Ch_006,言語知識,文字,漢字読み,3,彼は自分の意見を<u>主張</u>した。,しゅちょう,じゅちょう,すちょう,ずちょう,しゅちょう,「主張」の正しい読み方は「しゅちょう」です。<br>「じゅちょう」「すちょう」「ずちょう」は間違った読み方です。<br>「主張（しゅちょう）」は、自分の考えを強く言うという意味（いみ）です。
JLPT_N2_LK_Ch_007,言語知識,文字,表記,3,彼は自分の罪を<u>しょうめい</u>した。,証明,証命,詳明,照命,証明,「しょうめい」の正しい漢字は「証明」です。<br>「証命」「詳明」「照命」という組み合わせは間違いです。<br>「証明（しょうめい）」は、事実（じじつ）を明らかにすることという意味（いみ）です。
JLPT_N2_LK_Ch_008,言語知識,文字,漢字読み,3,彼女は幼いころの苦手意識を<u>克服</u>した。,こくふく,こくふくう,きょくふく,こっふく,こくふく,「克服（こくふく）」の正しい読み方は「こくふく」です。<br>「きょくふく」「こくふくう」「こっふく」は間違った読み方です。<br>「克服（こくふく）」は、大変（たいへん）なことに打（う）ち勝（か）つという意味（いみ）です。<br>N2の標準的な読み方です。
JLPT_N2_LK_Ch_009,言語知識,文字,漢字読み,3,事故の<u>原因</u>を調べている。,げんいん,げんいんん,けんいん,げんえん,げんいん,「原因」の正しい読み方は「げんいん」です。<br>「げんいんん」「けんいん」「げんえん」は間違った読み方です。<br>「原因（げんいん）」は、何かが起きた理由（りゆう）という意味（いみ）です。
JLPT_N2_LK_Ch_010,言語知識,文字,漢字読み,3,荷物を<u>回収</u>する。,かいしゅう,がいしゅう,かいじゅう,かいしゆ,かいしゅう,「回収」の正しい読み方は「かいしゅう」です。<br>「がいしゅう」「かいじゅう」「かいしゆ」は間違った読み方です。<br>「回収（かいしゅう）」は、集（あつ）めて持（も）ち帰（かえ）るという意味（いみ）です。
