question_id,category_lv1,category_lv2,category_lv3,difficulty,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
JLPT_N1_LK_Ch_001,言語知識,文字,漢字読み,3,この辞書（じしょ）は学習者（がくしゅうしゃ）に必要な語彙（ごい）を完全に<u>網羅</u>している。,もうら,もら,ぼうら,もうりょう,もうら,（Phase-3で作成）
JLPT_N1_LK_Ch_002,言語知識,文字,漢字読み,3,怪我（けが）をした児童（じどう）に対して、担当医（たんとうい）が<u>迅速</u>な処置（しょち）を行った。,じんそく,しんそく,じんぞく,じんそっ,じんそく,（Phase-3で作成）
JLPT_N1_LK_Ch_003,言語知識,文字,漢字読み,3,近所（きんじょ）の噂（うわさ）話（ばなし）は、時に事実（じじつ）を<u>誇張</u>して伝えられがちだ。,こちょう,ごちょう,こじょう,ほちょう,こちょう,（Phase-3で作成）
JLPT_N1_LK_Ch_004,言語知識,文字,漢字読み,3,公式（こうしき）サイトで最新（さいしん）の展示（てんじ）情報を<u>閲覧</u>できるようになりました。,えつらん,えんらん,かんらん,えつりん,えつらん,（Phase-3で作成）
JLPT_N1_LK_Ch_005,言語知識,文字,漢字読み,3,糖質（とうしつ）の摂取（せっしゅ）を<u>抑制</u>することで、健（すこ）やかな体作りを目指しましょう。,よくせい,よくしょう,よくぜい,いくせい,よくせい,（Phase-3で作成）
JLPT_N1_LK_Ch_006,言語知識,文字,漢字読み,3,入店（にゅうてん）時にこの画面（がめん）を<u>提示</u>すれば、ドリンクが無料（むりょう）になります。,ていじ,だいじ,ていし,じょうじ,ていじ,（Phase-3で作成）
JLPT_N1_LK_Ch_007,言語知識,文字,漢字読み,3,気象庁（きしょうちょう）によると、大雨（おおあめ）の影響（えいきょう）で山頂（さんちょう）付近（ふきん）の地盤（じばん）が<u>崩壊</u>したとのことだ。,ほうかい,ほうき,ぼうかい,ほうがい,ほうかい,（Phase-3で作成）
JLPT_N1_LK_Ch_008,言語知識,文字,漢字読み,3,この要件（ようけん）に<u>該当</u>する企業（きぎょう）は、支援金（しえんきん）の支給（しきゅう）対象（たいしょう）となる。,がいとう,かいとう,がいどう,がいとうし,がいとう,（Phase-3で作成）
JLPT_N1_LK_Ch_009,言語知識,文字,漢字読み,3,予算（よさん）案（あん）を巡（めぐ）る議論（ぎろん）は<u>紛糾</u>し、採決（さいけつ）が延期（えんき）された。,ふんきゅう,ふんきょう,ぶんきゅう,ふんしゅう,ふんきゅう,（Phase-3で作成）
JLPT_N1_LK_Ch_010,言語知識,文字,漢字読み,3,労働局（ろうどうきょく）は事業主（じぎょうぬし）に対し、速（すみや）やかに是正（ぜせい）措置（そち）を講（こう）じるよう<u>勧告</u>した。,かんこく,けんこく,かんごく,かんこう,かんこく,（Phase-3で作成）
JLPT_N1_LK_Ch_011,言語知識,文字,漢字読み,3,複雑（ふくざつ）な概念（がいねん）を<u>抽象</u>化して分かりやすく説明する。,ちゅうしょう,ちゅうぞう,しゅうしょう,ちゅうそう,ちゅうしょう,（Phase-3で作成）
JLPT_N1_LK_Ch_012,言語知識,文字,漢字読み,3,他人（たにん）の権利（けんり）を<u>侵害</u>するような行為（こうい）は許（ゆる）されない。,しんがい,しんけい,じんがい,しんかい,しんがい,（Phase-3で作成）
JLPT_N1_LK_Ch_013,言語知識,文字,漢字読み,3,相手（あいて）からの提案（ていあん）をあっさりと<u>拒絶</u>してしまった。,きょぜつ,きょだつ,きょせつ,きょっせつ,きょぜつ,（Phase-3で作成）
JLPT_N1_LK_Ch_014,言語知識,文字,漢字読み,3,環境（かんきょう）破壊（はかい）への<u>懸念</u>が高（たか）まる中（なか）、新しい商品（しょうひん）が注目（ちゅうもく）されている。,けねん,けんねん,けいねん,かねん,けねん,（Phase-3で作成）
JLPT_N1_LK_Ch_015,言語知識,文字,漢字読み,3,旅先（たびさき）で思いがけない絶景（ぜっけい）に<u>遭遇</u>する旅（たび）に出かけよう。,そうぐう,しょうぐう,そうこう,そうくう,そうぐう,（Phase-3で作成）
JLPT_N1_LK_Ch_016,言語知識,文字,漢字読み,3,毎日の疲労（ひろう）が<u>累積</u>する前（まえ）に、十分（じゅうぶん）な休日（きゅうじつ）を過ごしましょう。,るいせき,らいせき,るいしゃく,るいぜき,るいせき,（Phase-3で作成）
JLPT_N1_LK_Ch_017,言語知識,文字,漢字読み,3,警察（けいさつ）は事件（じけん）に関与（かんよ）したと見（み）られる容疑者（ようぎしゃ）を<u>拘束</u>した。,こうそく,くそく,こうぞく,ちょくそく,こうそく,（Phase-3で作成）
JLPT_N1_LK_Ch_018,言語知識,文字,漢字読み,3,政府（せいふ）は地域（ちいき）経済（けいざい）の<u>促進</u>を図（はか）るための政策（せいさく）を打ち出した。,そくしん,しょくしん,そくじん,そくせん,そくしん,（Phase-3で作成）
JLPT_N1_LK_Ch_019,言語知識,文字,漢字読み,3,被災地（ひさいち）では救援（きゅうえん）物資（ぶっし）の<u>欠乏</u>が深刻（しんこく）な問題（もんだい）となっている。,けつぼう,けつほう,けつむ,かんぼう,けつぼう,（Phase-3で作成）
JLPT_N1_LK_Ch_020,言語知識,文字,漢字読み,3,用地（ようち）の<u>買収</u>に関する手続（てつづ）きを公正（こうせい）に進める必要がある。,ばいしゅう,ばいじゅう,まいしゅう,ばいしゅ,ばいしゅう,（Phase-3で作成）
JLPT_N1_LK_Ch_021,言語知識,文字,漢字読み,3,研修（けんしゅう）のため、若手（わかて）教員（きょういん）を海外（かいがい）に<u>派遣</u>することになった。,はけん,はかん,ばけん,はけい,はけん,（Phase-3で作成）
JLPT_N1_LK_Ch_022,言語知識,文字,漢字読み,3,お互（たが）いの主張（しゅちょう）を譲（ゆず）らず、最後まで<u>妥協</u>しなかった。,だきょう,たきょう,だこう,だけい,だきょう,（Phase-3で作成）
JLPT_N1_LK_Ch_023,言語知識,文字,漢字読み,3,医師（いし）に手術（しゅじゅつ）のリスクを説明（せつめい）され、家族（かぞく）で話し合って<u>承諾</u>した。,しょうだく,じょうだく,しょうたく,しょうろく,しょうだく,（Phase-3で作成）
JLPT_N1_LK_Ch_024,言語知識,文字,漢字読み,3,新人（しんじん）シェフが有名（ゆうめい）店での修行（しゅぎょう）に<u>奮闘</u>する姿（すがた）を応援（おうえん）しよう。,ふんとう,ふんどう,ほんとう,ふんちょう,ふんとう,（Phase-3で作成）
JLPT_N1_LK_Ch_025,言語知識,文字,漢字読み,3,週末（しゅうまつ）は温泉（おんせん）旅館（りょかん）で極上（ごくじょう）のひとときを<u>満喫</u>しませんか。,まんきつ,まんきゅう,まんけつ,ばんきつ,まんきつ,（Phase-3で作成）
JLPT_N1_LK_Ch_026,言語知識,文字,漢字読み,3,最新（さいしん）号（ごう）の特集（とくしゅう）記事（きじ）に、注目（ちゅうもく）のレストランが<u>掲載</u>されています。,けいさい,けいしょう,さいけい,けいせん,けいさい,（Phase-3で作成）
JLPT_N1_LK_Ch_027,言語知識,文字,漢字読み,3,調査（ちょうさ）委員会（いいんかい）の報告（ほうこく）によると、論文（ろんぶん）のデータが<u>捏造</u>されていたことが判明（はんめい）した。,ねつぞう,でんぞう,ねっぞう,くりぞう,ねつぞう,（Phase-3で作成）
JLPT_N1_LK_Ch_028,言語知識,文字,漢字読み,3,警察（けいさつ）の発表（はっぴょう）によると、容疑者（ようぎしゃ）は隣県（りんけん）のアパートに<u>潜伏</u>していた模様（もよう）だ。,せんぷく,ぜんぷく,せんふく,じゅんぷく,せんぷく,（Phase-3で作成）
JLPT_N1_LK_Ch_029,言語知識,文字,漢字読み,3,両国（りょうこく）の代表（だいひょう）は、貿易（ぼうえき）促進（そくしん）に向けた協定（きょうてい）を<u>締結</u>したとのことだ。,ていけつ,じょうけつ,ていけい,ていかん,ていけつ,（Phase-3で作成）
JLPT_N1_LK_Ch_030,言語知識,文字,漢字読み,3,法令（ほうれい）の改正（かいせい）に伴（ともな）い、新たな基準（きじゅん）を本日（ほんじつ）付けで<u>告示</u>する。,こくじ,こくし,こくじつ,ごくじ,こくじ,（Phase-3で作成）
JLPT_N1_LK_Ch_031,言語知識,文字,漢字読み,3,グループワークで他者（たしゃ）との<u>摩擦</u>を恐（おそ）れずに意見（いけん）を交（かわ）わそう。,まさつ,しょうさつ,まさっ,まさく,まさつ,（Phase-3で作成）
JLPT_N1_LK_Ch_032,言語知識,文字,漢字読み,3,この理論（りろん）にはいくつかの<u>矛盾</u>が含まれていることが指摘（してき）された。,むとん,むじゅん,ぼうじゅん,むじょん,むじゅん,（Phase-3で作成）
JLPT_N1_LK_Ch_033,言語知識,文字,漢字読み,3,会社（かいしゃ）は今回の事業（じぎょう）で生じた損失（そんしつ）を全額（ぜんがく）<u>補填</u>した。,ほちん,ほれん,ほてん,ふてん,ほてん,（Phase-3で作成）
JLPT_N1_LK_Ch_034,言語知識,文字,漢字読み,3,旅先（たびさき）の市場（いちば）で新鮮（しんせん）な海（うみ）の幸（さち）を心ゆくまで<u>堪能</u>しましょう。,かんのう,たんのう,じんのう,たんろう,たんのう,（Phase-3で作成）
JLPT_N1_LK_Ch_035,言語知識,文字,漢字読み,3,伝統（でんとう）芸能（げいのう）の美しい舞（まい）が観客（かんきゃく）を<u>魅了</u>している。,みりょう,みりょうく,まりょう,みりよう,みりょう,（Phase-3で作成）
JLPT_N1_LK_Ch_036,言語知識,文字,漢字読み,3,海外（かいがい）市場（しじょう）での<u>躍進</u>により、同社（どうしゃ）の売上（うりあげ）は過去（かこ）最高（さいこう）を記録（きろく）した。,たくしん,やくじん,やくしん,ようしん,やくしん,（Phase-3で作成）
JLPT_N1_LK_Ch_037,言語知識,文字,漢字読み,3,内部（ないぶ）告発（こくはつ）により、長年（ながねん）にわたる不正（ふせい）取引（とりひき）の実態（じったい）が<u>暴露</u>された。,ばくろ,ぼうろ,ばくろう,ばくそ,ばくろ,（Phase-3で作成）
JLPT_N1_LK_Ch_038,言語知識,文字,漢字読み,3,火山（かざん）噴火（ふんか）の恐れがあるため、周辺（しゅうへん）住民（じゅうみん）に直ちに<u>避難</u>するよう指示（しじ）が出された。,ひらん,びなん,ひなん,へいなん,ひなん,（Phase-3で作成）
JLPT_N1_LK_Ch_039,言語知識,文字,漢字読み,3,捜査（そうさ）当局（とうきょく）は、組織（そしき）的な証拠（しょうこ）の<u>隠蔽</u>工作（こうさく）が行われたとみて調（しら）べている。,いんへい,おんぺい,いんぺい,いんべい,いんぺい,（Phase-3で作成）
JLPT_N1_LK_Ch_040,言語知識,文字,漢字読み,3,契約（けいやく）当事者（とうじしゃ）は、合意（ごうい）された義務（ぎむ）を誠実（せいじつ）に<u>履行</u>しなければならない。,りこう,りぎょう,れいこう,りこうく,りこう,（Phase-3で作成）
JLPT_N1_LK_Ch_041,言語知識,文字,漢字読み,3,研究者（けんきゅうしゃ）たちは問題（もんだい）の解決（かいけつ）に向けて<u>模索</u>を続（つづ）けている。,もさく,ぼさく,もそく,ぼくさく,もさく,（Phase-3で作成）
JLPT_N1_LK_Ch_042,言語知識,文字,漢字読み,3,地方（ちほう）の過疎化（かそか）が深刻化（しんこくか）することを<u>危惧</u>する声（こえ）があがっている。,きぐ,ぎぐ,きこう,けぐ,きぐ,（Phase-3で作成）
JLPT_N1_LK_Ch_043,言語知識,文字,漢字読み,3,多文化（たぶんか）共生（きょうせい）の社会（しゃかい）をつくるには互（たが）いの文化（ぶんか）に<u>寛容</u>であることが大切（たいせつ）だ。,かんよう,かんしょう,くんよう,かんゆ,かんよう,（Phase-3で作成）
JLPT_N1_LK_Ch_044,言語知識,文字,漢字読み,3,<u>洗練</u>されたデザインの家具（かぐ）を取り入れて素敵（すてき）な空間（くうかん）を作りましょう。,せんれん,せんかん,ぜんれん,せんりん,せんれん,（Phase-3で作成）
JLPT_N1_LK_Ch_045,言語知識,文字,漢字読み,3,若手（わかて）シェフが考案（こうあん）した<u>斬新</u>なアイデア料理（りょうり）が話題（わだい）を集（あつ）めている。,ざんしん,さんしん,ざんせい,ざんれん,ざんしん,（Phase-3で作成）
JLPT_N1_LK_Ch_046,言語知識,文字,漢字読み,3,職人（しょくにん）の<u>繊細</u>な手（て）仕事（しごと）から生（う）まれる伝統（でんとう）工芸品（こうげいひん）の魅力（みりょく）を体験（たいけん）してみませんか。,せんさい,ぜんさい,せんし,しんさい,せんさい,（Phase-3で作成）
JLPT_N1_LK_Ch_047,言語知識,文字,漢字読み,3,現場（げんば）に駆けつけた救急隊（きゅうきゅうたい）により、傷病者（しょうびょうしゃ）が病院（びょういん）へ<u>搬送</u>された。,はんそう,ばんそう,はんしゅう,まんそう,はんそう,（Phase-3で作成）
JLPT_N1_LK_Ch_048,言語知識,文字,漢字読み,3,輸出（ゆしゅつ）の減少（げんしょう）に伴（ともな）い、国内（こくない）の生産（せいさん）活動（かつどう）が<u>停滞</u>しているとのことだ。,ていたい,じょうたい,ていたいく,ていちょう,ていたい,（Phase-3で作成）
JLPT_N1_LK_Ch_049,言語知識,文字,漢字読み,3,捜査（そうさ）本部は関係（かんけい）先から偽造（ぎぞう）カードなどの証拠品（しょうこひん）を<u>押収</u>したと発表（はっぴょう）した。,おうしゅう,おっしゅう,おうじゅう,おうしゅ,おうしゅう,（Phase-3で作成）
JLPT_N1_LK_Ch_050,言語知識,文字,漢字読み,3,所定（しょてい）の手続（てつづ）きを行うことで、対象者（たいしょうしゃ）は手数料（てすうりょう）の支払（しはら）いが<u>免除</u>される。,めんじょ,めんぞう,べんじょ,めんしょう,めんじょ,（Phase-3で作成）
JLPT_N1_LK_Ch_051,言語知識,文字,漢字読み,3,専門家（せんもんか）が今後の動向（どうこう）について<u>示唆</u>を与えた。,しさ,じさ,ししゃ,じしゃ,しさ,（Phase-3で作成）
JLPT_N1_LK_Ch_052,言語知識,文字,漢字読み,3,近年の研究（けんきゅう）により、特定（とくてい）の遺伝子（いでんし）に<u>顕著</u>な差異（さい）が見られることが分かった。,けんしゃ,けんちょ,げんちょ,けんしょう,けんちょ,（Phase-3で作成）
JLPT_N1_LK_Ch_053,言語知識,文字,漢字読み,3,無理（むり）な計画（けいかく）で家計（かけい）が<u>破綻</u>しないよう注意（ちゅうい）しましょう。,はたん,はじょう,ばたん,はじょ,はたん,（Phase-3で作成）
JLPT_N1_LK_Ch_054,言語知識,文字,漢字読み,3,限定（げんてい）アイテムを<u>獲得</u>するチャンスを逃（のが）さないようにしよう。,かくとう,かくとく,わかりとく,きゃくとく,かくとく,（Phase-3で作成）
JLPT_N1_LK_Ch_055,言語知識,文字,漢字読み,3,過去（かこ）の成功（せいこう）体験（たいけん）に<u>執着</u>せず、新しいチャレンジを楽しもう。,しゅうちゃく,しょうちゃく,しつちゃく,しゅうちょく,しゅうちゃく,（Phase-3で作成）
JLPT_N1_LK_Ch_056,言語知識,文字,漢字読み,3,時代（じだい）の変化（へんか）を見抜（みぬ）く深い<u>洞察</u>力を身につけよう。,どうさつ,とうさつ,どうさく,どうせつ,どうさつ,（Phase-3で作成）
JLPT_N1_LK_Ch_057,言語知識,文字,漢字読み,3,警察（けいさつ）は容疑者（ようぎしゃ）が証拠（しょうこ）を<u>隠滅</u>しようとしたとみている。,おんめつ,いんめつ,いんべつ,あんめつ,いんめつ,（Phase-3で作成）
JLPT_N1_LK_Ch_058,言語知識,文字,漢字読み,3,山林（さんりん）に産業（さんぎょう）廃棄物（はいきぶつ）を<u>投棄</u>した疑（うたが）いで業者が逮捕（たいほ）されたとのことだ。,とうき,なげき,どうき,とうぎ,とうき,（Phase-3で作成）
JLPT_N1_LK_Ch_059,言語知識,文字,漢字読み,3,英国（えいこく）が国際（こくさい）組織（そしき）からの<u>離脱</u>を決断（けつだん）したニュースが世界（せかい）を揺（ゆ）るがした。,りだつ,りぬけ,れいだつ,りだっ,りだつ,（Phase-3で作成）
