question_id,category_lv1,category_lv2,category_lv3,difficulty,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
JLPT_N2_LK_Gr_001,言語知識,文法,文の文法1,3,給料が高い（ ______ ）、仕事にやりがいがあるとは限らない。,からといって,ことになって,ついでに,にあたって,からといって,「〜からといって」は、「〜という理由（りゆう）があっても、それだけでは…とは言（い）えない」という意味（いみ）です。<br>「ことになって」は決定（けってい）を表（あらわ）す言葉なので、ここでは合いません。<br>「ついでに」は、何かのついでに別のことをする様子（ようす）を表す言葉なので、合いません。<br>「にあたって」は、何かを始める時（とき）に使う言葉なので、合いません。<br>標準レベル。本番で合否を分けやすいタイプの問題です。
JLPT_N2_LK_Gr_002,言語知識,文法,文の文法2,3,昨日の夜は ______ ______ __★__ ______ 眠れなかった。,気になって,テストの,全然,結果が,気になって,正しい順番（じゅんばん）は、「テストの 結果が 気になって 全然 眠れなかった」です。<br>★に入るのは「気になって」です。<br>「〜が気になる」で、心配（しんぱい）だという意味（いみ）になります。<br>標準レベル。ここが安定して解けるとN2合格が見えてきます。
JLPT_N2_LK_Gr_003,言語知識,文法,文章の文法,3,最近はスマートフォンの普及により、いつでも連絡が取れるようになった。しかし、その（ ______ ）、対面での会話が減ったと感じる人も多い。,反面,おかげで,あいだに,たびに,反面,「〜反面（はんめん）」は、「〜という良い（よい）面（めん）があるが、反対（はんたい）に〜という悪い（わるい）面もある」という意味（いみ）で使います。<br>「おかげで」は良い結果（けっか）だけに使います。<br>「あいだに」や「たびに」は理由（りゆう）や対比（たいひ）を表（あらわ）しません。<br>実際の試験でよく問われる標準レベルの問題です。
JLPT_N2_LK_Gr_004,言語知識,文法,文の文法1,3,毎日しっかり練習しているのだから、次の試合は勝てる（ ______ ）。,に違いない,にすぎない,に限らない,に及ばない,に違いない,「〜に違（ちが）いない」は、「強い理由（りゆう）があって、きっと〜だと思う」という意味（いみ）で使います。<br>「〜にすぎない」は「ただ〜だけだ」、「〜に限（かぎ）らない」は「〜だけとは言えない」、「〜に及（およ）ばない」は「〜する必要はない」という意味なので合（あ）いません。<br>標準レベル。前後の文脈をていねいに読むのがコツです。
JLPT_N2_LK_Gr_005,言語知識,文法,文の文法2,3,彼は ______ ______ __★__ ______ 来なかった。,約束した,パーティーに,にもかかわらず,とうとう,パーティーに,正（ただ）しい順番（じゅんばん）は「約束（やくそく）した　にもかかわらず　パーティーに　とうとう」です。<br>★の位置に入る言葉は「パーティーに」です。<br>「〜にもかかわらず」は動詞（どうし）の後（あと）に直接（ちょくせつ）つく言葉なので、「約束した」のすぐ後ろに来ます。<br>「パーティーに」は「来なかった」につながる場所（ばしょ）を表す言葉なので、★の位置に入ります。<br>標準レベル。本番で合否を分けやすいタイプの問題です。
JLPT_N2_LK_Gr_006,言語知識,文法,文章の文法,3,この公園は誰でも自由に利用できる。（ ______ ）、夜間の利用は禁止されている。,ただし,したがって,すなわち,たとえば,ただし,「ただし」は、前（まえ）の内容（ないよう）に条件（じょうけん）や例外（れいがい）を付（つ）け加（くわ）えるときに使（つか）う言葉です。<br>「したがって」は結果（けっか）を言うときに使うので、合いません。<br>「すなわち」は言（い）い換（か）えるときに使うので、合いません。<br>「たとえば」は例（れい）を挙（あ）げるときに使うので、合いません。<br>標準レベル。ここが安定して解けるとN2合格が見えてきます。
JLPT_N2_LK_Gr_007,言語知識,文法,文の文法1,3,台風が近づいているため、今夜は大雨が降り（ ______ ）。,おそれがある,おかげがある,つもりがある,かぎりがある,おそれがある,「〜おそれがある」は、「悪い（わるい）ことが起こる可能性がある（かのうせいがある）」という意味（いみ）で使います。<br>「おかげがある」「つもりがある」「かぎりがある」は、文脈（ぶんみゃく）や文法（ぶんぽう）として正しくありません。<br>実際の試験でよく問われる標準レベルの問題です。
JLPT_N2_LK_Gr_008,言語知識,文法,文の文法2,3,彼は ______ ______ __★__ ______ 諦めずに走り続けた。,どんなに,痛かった,足が,にもかかわらず,痛かった,正しい順番（じゅんばん）は、「足が どんなに 痛かった にもかかわらず 諦めずに走り続けた」です。<br>★に入るのは「痛かった」です。<br>「〜にもかかわらず」は、「〜なのに」という意味（いみ）を表（あらわ）します。<br>標準レベル。前後の文脈をていねいに読むのがコツです。
JLPT_N2_LK_Gr_009,言語知識,文法,文章の文法,3,最近は環境問題への関心が高まっている。多くの企業がエコ活動に取り組んでいる。（ ______ ）、個人でもゴミの分別の意識が上がっている。,また,なぜなら,しかし,つまり,また,「また」は、前の内容（ないよう）に別の同じような内容を付け加（くわ）えるときに使います。<br>「なぜなら」は理由（りゆう）、「しかし」は反対（はんたい）の内容、「つまり」はまとめや言い換え（いいかえ）のときに使うので合いません。<br>標準レベル。本番で合否を分けやすいタイプの問題です。
JLPT_N2_LK_Gr_010,言語知識,文法,文の文法1,3,社長（ ______ ）、この重要な決定はできません。,抜きにしては,にとっての,にかけては,に沿っては,抜きにしては,「〜抜き（ぬき）にしては」は、「〜がいなければ／〜がなければ、〜できない」という意味（いみ）で使います。<br>「〜にとっての」「〜にかけては」「〜に沿（そ）っては」は文脈（ぶんみゃく）に合いません。<br>標準レベル。ここが安定して解けるとN2合格が見えてきます。
JLPT_N2_LK_Gr_011,言語知識,文法,文の文法2,3,どんなに ______ ______ __★__ ______ 諦めてはいけない。,大きな,困難が,あった,としても,あった,正（ただ）しい順番（じゅんばん）は「どんなに　大（おお）きな　困難（こんなん）が　あった　としても」です。<br>★の位置に入る言葉は「あった」です。<br>「困難（こんなん）が　あった」で「困難という出来事（できごと）が存在（そんざい）した」という意味（いみ）になり、その後（あと）に「としても（〜であっても）」が続（つづ）きます。<br>実際の試験でよく問われる標準レベルの問題です。
